month,total_insolvencies,cvl,compulsory_liquidation,administration,cva,receivership,rate_per_10k_12m_rolling
2016-10,1282,833,302,129,18,0,44.8
2016-11,1286,871,264,117,34,0,44.9
2016-12,1260,874,252,114,20,0,44.8
2017-01,1275,881,248,115,31,0,44.9
2017-02,1343,942,245,130,26,0,45.2
2017-03,1284,930,219,106,29,0,45.5
2017-04,1333,976,224,107,25,1,45.2
2017-05,1081,677,266,111,26,1,44.7
2017-06,1108,752,209,113,34,0,44.2
2017-07,1244,859,271,88,26,0,44.1
2017-08,1143,793,218,104,28,0,43.9
2017-09,1256,871,240,117,28,0,43.7
2017-10,1074,742,214,104,14,0,43.1
2017-11,1161,859,176,102,24,0,42.6
2017-12,1270,915,219,119,17,0,42.4
2018-01,1310,937,205,116,52,0,42.6
2018-02,1353,941,269,119,23,1,42.5
2018-03,1263,878,238,120,27,0,41.8
2018-04,1192,808,236,115,33,0,41.6
2018-05,1341,979,232,104,26,0,42.3
2018-06,1394,944,285,129,36,0,42.8
2018-07,1430,1028,207,167,28,0,43.4
2018-08,1545,1019,380,110,36,0,44.3
2018-09,1413,1008,254,120,31,0,44.5
2018-10,1338,925,274,109,30,0,45.3
2018-11,1321,929,240,132,20,0,45.6
2018-12,1153,743,269,125,16,0,45.1
2019-01,1565,1108,245,170,42,0,45.8
2019-02,1249,863,239,124,23,0,45.3
2019-03,1510,1063,253,165,29,0,45.9
2019-04,1461,1015,286,134,26,0,46.4
2019-05,1364,953,280,100,31,0,46.2
2019-06,1507,1024,277,171,35,0,46.2
2019-07,1431,990,243,159,39,0,46.2
2019-08,1478,1013,255,180,30,0,45.8
2019-09,1479,1071,231,154,22,1,46
2019-10,1465,1090,193,146,36,0,46.1
2019-11,1495,1071,252,151,21,0,46.3
2019-12,1164,795,188,160,21,0,46.4
2020-01,1379,962,234,151,32,0,45.6
2020-02,1426,1027,231,148,19,1,45.9
2020-03,1133,813,187,115,18,0,44.8
2020-04,1214,936,126,130,21,1,44
2020-05,1032,853,39,128,12,0,42.9
2020-06,717,525,70,108,14,0,40.8
2020-07,975,586,171,201,17,0,39.4
2020-08,859,626,105,112,15,1,37.7
2020-09,899,715,51,102,31,0,36
2020-10,886,709,59,97,21,0,34.2
2020-11,889,767,35,72,15,0,32.4
2020-12,1221,968,46,162,45,0,32.5
2021-01,793,650,45,77,21,0,30.4
2021-02,754,654,37,57,6,0,28.5
2021-03,907,801,34,62,10,0,27.8
2021-04,897,788,37,67,5,0,26.9
2021-05,1096,1000,38,51,6,1,26.8
2021-06,1139,1045,35,45,14,0,27.8
2021-07,1129,1033,43,47,6,0,28
2021-08,1365,1263,46,54,2,0,29.2
2021-09,1450,1327,32,79,12,0,30.4
2021-10,1485,1328,47,94,16,0,31.6
2021-11,1592,1451,44,87,10,0,33.4
2021-12,1454,1314,55,78,7,0,34
2022-01,1668,1465,111,79,13,0,35.9
2022-02,1665,1460,92,110,3,0,37.8
2022-03,1860,1601,143,107,9,0,40.4
2022-04,2058,1826,118,104,10,0,42.9
2022-05,1866,1603,158,91,14,0,44.8
2022-06,1610,1355,144,102,8,1,45.8
2022-07,1933,1696,138,94,5,0,47.5
2022-08,1875,1579,175,108,13,0,48.8
2022-09,1718,1402,223,82,11,0,49.2
2022-10,1986,1651,224,106,5,0,50.4
2022-11,1868,1498,238,122,10,0,51.1
2022-12,2028,1686,205,127,10,0,52.1
2023-01,1772,1481,183,94,14,0,52.3
2023-02,1970,1651,200,107,12,0,52.8
2023-03,2201,1768,300,120,13,0,53.5
2023-04,1810,1450,232,116,12,0,52.6
2023-05,2486,2094,207,155,30,0,54.2
2023-06,2070,1663,248,145,14,0,55.1
2023-07,1794,1399,241,135,19,0,54.7
2023-08,2238,1783,259,184,11,1,55.4
2023-09,2109,1702,269,127,11,0,55.8
2023-10,2257,1870,221,142,23,1,56.5
2023-11,2259,1841,288,118,12,0,57.3
2023-12,2196,1868,190,123,15,0,57.2
2024-01,1827,1382,303,126,16,0,57.1
2024-02,2197,1757,270,158,12,0,57.6
2024-03,1833,1447,277,100,9,0,55.9
2024-04,2148,1704,279,147,18,0,57
2024-05,1940,1534,264,123,19,0,55.6
2024-06,2419,1932,286,178,23,0,55.8
2024-07,2055,1597,295,138,25,0,56.6
2024-08,1905,1502,272,111,20,0,55.5
2024-09,1941,1537,237,150,17,0,55
2024-10,1707,1415,175,103,12,2,53.9
2024-11,1983,1558,277,133,14,1,53
2024-12,1929,1475,306,131,17,0,52.5
2025-01,2039,1598,291,136,14,0,52.8
2025-02,2031,1517,392,115,7,0,52.3
2025-03,2003,1564,293,129,17,0,53
2025-04,2022,1533,364,100,24,1,52.5
2025-05,2231,1730,345,142,14,0,53
2025-06,2025,1573,320,117,15,0,52.4
2025-07,2053,1568,329,144,12,0,52.5
2025-08,2017,1578,304,119,16,0,52.5
2025-09,1967,1548,277,125,17,0,52.8
2025-10,2011,1557,314,123,17,0,53.4
2025-11,1854,1438,256,141,18,1,52.9
2025-12,1689,1321,249,104,15,0,52.5
2026-01,1761,1332,258,157,13,1,51.7
2026-02,1899,1478,259,152,10,0,51.5
2026-03,2028,1468,306,234,20,0,51.6
2026-04,2087,1504,384,178,20,1,51.8
2026-05,1868,1423,285,135,25,0,50.9
